id,name,date,age,mins,played,G,NPG,maxG,maxNPG,G90,NPG90
1,Lionel Messi,2004-10-16,17.314,7,1,0,0,547,484,0.96,0.85
1,Lionel Messi,2004-12-07,17.457,195,5,0,0,547,484,0.96,0.85
1,Lionel Messi,2005-09-14,18.226,258,10,1,1,547,484,0.96,0.85
1,Lionel Messi,2005-10-26,18.341,496,15,1,1,547,484,0.96,0.85
1,Lionel Messi,2005-12-04,18.448,822,20,3,3,547,484,0.96,0.85
1,Lionel Messi,2006-01-15,18.563,1193,25,4,4,547,484,0.96,0.85
1,Lionel Messi,2006-02-05,18.62,1453,30,8,8,547,484,0.96,0.85
1,Lionel Messi,2006-08-17,19.149,1681,35,9,9,547,484,0.96,0.85
1,Lionel Messi,2006-09-17,19.233,2104,40,11,11,547,484,0.96,0.85
1,Lionel Messi,2006-10-18,19.318,2483,45,13,13,547,484,0.96,0.85
1,Lionel Messi,2007-02-11,19.636,2797,50,13,13,547,484,0.96,0.85
1,Lionel Messi,2007-03-03,19.691,3106,55,13,13,547,484,0.96,0.85
1,Lionel Messi,2007-04-07,19.786,3550,60,18,18,547,484,0.96,0.85
1,Lionel Messi,2007-05-05,19.863,3984,65,20,20,547,484,0.96,0.85
1,Lionel Messi,2007-06-17,19.981,4409,70,26,26,547,484,0.96,0.85
1,Lionel Messi,2007-09-26,20.257,4819,75,31,30,547,484,0.96,0.85
1,Lionel Messi,2007-10-23,20.331,5231,80,34,33,547,484,0.96,0.85
1,Lionel Messi,2007-11-10,20.381,5587,85,36,35,547,484,0.96,0.85
1,Lionel Messi,2007-12-15,20.476,5992,90,38,35,547,484,0.96,0.85
1,Lionel Messi,2008-02-03,20.613,6307,95,38,35,547,484,0.96,0.85
1,Lionel Messi,2008-02-27,20.679,6738,100,41,38,547,484,0.96,0.85
1,Lionel Messi,2008-04-23,20.832,6941,105,41,38,547,484,0.96,0.85
1,Lionel Messi,2008-05-17,20.898,7363,110,42,38,547,484,0.96,0.85
1,Lionel Messi,2008-09-24,21.254,7755,115,45,40,547,484,0.96,0.85
1,Lionel Messi,2008-10-25,21.339,8125,120,50,44,547,484,0.96,0.85
1,Lionel Messi,2008-11-16,21.399,8502,125,54,48,547,484,0.96,0.85
1,Lionel Messi,2008-12-21,21.495,8911,130,58,52,547,484,0.96,0.85
1,Lionel Messi,2009-01-21,21.58,9206,135,63,56,547,484,0.96,0.85
1,Lionel Messi,2009-02-08,21.629,9540,140,67,60,547,484,0.96,0.85
1,Lionel Messi,2009-03-04,21.695,9875,145,69,62,547,484,0.96,0.85
1,Lionel Messi,2009-04-04,21.78,10266,150,72,64,547,484,0.96,0.85
1,Lionel Messi,2009-04-25,21.837,10716,155,76,68,547,484,0.96,0.85
1,Lionel Messi,2009-05-13,21.886,11166,160,79,71,547,484,0.96,0.85
1,Lionel Messi,2009-09-16,22.231,11588,165,83,75,547,484,0.96,0.85
1,Lionel Messi,2009-10-03,22.278,12012,170,88,80,547,484,0.96,0.85
1,Lionel Messi,2009-11-04,22.366,12462,175,89,81,547,484,0.96,0.85
1,Lionel Messi,2009-12-02,22.442,12731,180,91,82,547,484,0.96,0.85
1,Lionel Messi,2010-01-05,22.535,13158,185,96,87,547,484,0.96,0.85
1,Lionel Messi,2010-01-30,22.604,13608,190,102,93,547,484,0.96,0.85
1,Lionel Messi,2010-02-27,22.68,14058,195,104,95,547,484,0.96,0.85
1,Lionel Messi,2010-03-24,22.749,14507,200,114,105,547,484,0.96,0.85
1,Lionel Messi,2010-04-10,22.795,14902,205,120,111,547,484,0.96,0.85
1,Lionel Messi,2010-04-28,22.845,15300,210,120,111,547,484,0.96,0.85
1,Lionel Messi,2010-08-14,23.14,15698,215,127,118,547,484,0.96,0.85
1,Lionel Messi,2010-09-19,23.239,16148,220,134,125,547,484,0.96,0.85
1,Lionel Messi,2010-10-23,23.332,16537,225,139,130,547,484,0.96,0.85
1,Lionel Messi,2010-11-13,23.389,16926,230,146,137,547,484,0.96,0.85
1,Lionel Messi,2010-12-07,23.455,17313,235,152,142,547,484,0.96,0.85
1,Lionel Messi,2011-01-08,23.543,17709,240,155,145,547,484,0.96,0.85
1,Lionel Messi,2011-01-26,23.592,18155,245,162,151,547,484,0.96,0.85
1,Lionel Messi,2011-02-20,23.661,18605,250,168,157,547,484,0.96,0.85
1,Lionel Messi,2011-03-13,23.718,19055,255,172,160,547,484,0.96,0.85
1,Lionel Messi,2011-04-12,23.8,19453,260,175,162,547,484,0.96,0.85
1,Lionel Messi,2011-04-30,23.849,19875,265,179,165,547,484,0.96,0.85
1,Lionel Messi,2011-08-14,24.14,20325,270,181,167,547,484,0.96,0.85
1,Lionel Messi,2011-09-13,24.222,20712,275,186,172,547,484,0.96,0.85
1,Lionel Messi,2011-10-02,24.274,21162,280,194,180,547,484,0.96,0.85
1,Lionel Messi,2011-10-29,24.348,21612,285,199,184,547,484,0.96,0.85
1,Lionel Messi,2011-11-26,24.424,22062,290,205,188,547,484,0.96,0.85
1,Lionel Messi,2011-12-18,24.485,22512,295,209,192,547,484,0.96,0.85
1,Lionel Messi,2012-01-18,24.569,22845,300,213,195,547,484,0.96,0.85
1,Lionel Messi,2012-02-04,24.616,23295,305,217,199,547,484,0.96,0.85
1,Lionel Messi,2012-02-26,24.676,23745,310,223,205,547,484,0.96,0.85
1,Lionel Messi,2012-03-24,24.75,24195,315,235,216,547,484,0.96,0.85
1,Lionel Messi,2012-04-10,24.797,24645,320,241,218,547,484,0.96,0.85
1,Lionel Messi,2012-04-29,24.849,25095,325,245,221,547,484,0.96,0.85
1,Lionel Messi,2012-08-19,25.155,25545,330,255,227,547,484,0.96,0.85
1,Lionel Messi,2012-09-15,25.229,25935,335,261,231,547,484,0.96,0.85
1,Lionel Messi,2012-10-07,25.29,26385,340,265,235,547,484,0.96,0.85
1,Lionel Messi,2012-11-07,25.374,26835,345,271,241,547,484,0.96,0.85
1,Lionel Messi,2012-12-01,25.44,27285,350,281,251,547,484,0.96,0.85
1,Lionel Messi,2012-12-22,25.498,27677,355,288,258,547,484,0.96,0.85
1,Lionel Messi,2013-01-24,25.588,28119,360,293,262,547,484,0.96,0.85
1,Lionel Messi,2013-02-16,25.651,28569,365,301,268,547,484,0.96,0.85
1,Lionel Messi,2013-03-09,25.708,28957,370,304,271,547,484,0.96,0.85
1,Lionel Messi,2013-04-10,25.796,29301,375,310,277,547,484,0.96,0.85
1,Lionel Messi,2013-08-18,26.152,29617,380,315,281,547,484,0.96,0.85
1,Lionel Messi,2013-09-18,26.237,30023,385,322,288,547,484,0.96,0.85
1,Lionel Messi,2013-10-22,26.33,30334,390,325,291,547,484,0.96,0.85
1,Lionel Messi,2013-11-10,26.382,30715,395,327,292,547,484,0.96,0.85
1,Lionel Messi,2014-01-22,26.582,31055,400,331,296,547,484,0.96,0.85
1,Lionel Messi,2014-02-12,26.639,31505,405,335,299,547,484,0.96,0.85
1,Lionel Messi,2014-03-08,26.705,31939,410,340,303,547,484,0.96,0.85
1,Lionel Messi,2014-03-29,26.762,32389,415,349,309,547,484,0.96,0.85
1,Lionel Messi,2014-04-16,26.812,32839,420,351,310,547,484,0.96,0.85
1,Lionel Messi,2014-05-17,26.897,33289,425,354,313,547,484,0.96,0.85
1,Lionel Messi,2014-09-21,27.244,33739,430,357,316,547,484,0.96,0.85
1,Lionel Messi,2014-10-18,27.318,34189,435,362,321,547,484,0.96,0.85
1,Lionel Messi,2014-11-08,27.376,34616,440,365,324,547,484,0.96,0.85
1,Lionel Messi,2014-12-10,27.463,35066,445,375,334,547,484,0.96,0.85
1,Lionel Messi,2015-01-11,27.551,35470,450,379,337,547,484,0.96,0.85
1,Lionel Messi,2015-02-01,27.608,35920,455,386,343,547,484,0.96,0.85
1,Lionel Messi,2015-02-24,27.671,36370,460,391,347,547,484,0.96,0.85
1,Lionel Messi,2015-03-18,27.732,36820,465,397,351,547,484,0.96,0.85
1,Lionel Messi,2015-04-15,27.808,37270,470,399,353,547,484,0.96,0.85
1,Lionel Messi,2015-05-02,27.855,37720,475,405,358,547,484,0.96,0.85
1,Lionel Messi,2015-05-23,27.912,38170,480,410,363,547,484,0.96,0.85
1,Lionel Messi,2015-08-17,28.148,38650,485,415,368,547,484,0.96,0.85
1,Lionel Messi,2015-09-20,28.241,39040,490,418,370,547,484,0.96,0.85
1,Lionel Messi,2015-11-28,28.43,39353,495,421,373,547,484,0.96,0.85
1,Lionel Messi,2015-12-30,28.517,39803,500,425,377,547,484,0.96,0.85
1,Lionel Messi,2016-01-17,28.567,40209,505,431,382,547,484,0.96,0.85
1,Lionel Messi,2016-02-07,28.624,40659,510,436,387,547,484,0.96,0.85
1,Lionel Messi,2016-02-28,28.682,41109,515,442,392,547,484,0.96,0.85
1,Lionel Messi,2016-03-20,28.739,41559,520,449,398,547,484,0.96,0.85
1,Lionel Messi,2016-04-17,28.816,42009,525,450,399,547,484,0.96,0.85
1,Lionel Messi,2016-05-14,28.89,42459,530,453,402,547,484,0.96,0.85
1,Lionel Messi,2016-08-28,29.18,42939,535,456,405,547,484,0.96,0.85
1,Lionel Messi,2016-10-15,29.311,43243,540,462,410,547,484,0.96,0.85
1,Lionel Messi,2016-11-06,29.372,43693,545,469,416,547,484,0.96,0.85
1,Lionel Messi,2016-12-10,29.465,44143,550,475,421,547,484,0.96,0.85
1,Lionel Messi,2017-01-14,29.561,44593,555,480,426,547,484,0.96,0.85
1,Lionel Messi,2017-02-01,29.61,45043,560,483,428,547,484,0.96,0.85
1,Lionel Messi,2017-02-19,29.659,45466,565,487,431,547,484,0.96,0.85
1,Lionel Messi,2017-03-12,29.717,45887,570,492,435,547,484,0.96,0.85
1,Lionel Messi,2017-04-15,29.81,46337,575,498,440,547,484,0.96,0.85
1,Lionel Messi,2017-05-06,29.867,46760,580,504,445,547,484,0.96,0.85
1,Lionel Messi,2017-08-16,30.146,47210,585,508,447,547,484,0.96,0.85
1,Lionel Messi,2017-09-16,30.231,47660,590,515,454,547,484,0.96,0.85
1,Lionel Messi,2017-10-14,30.308,48110,595,521,459,547,484,0.96,0.85
1,Lionel Messi,2017-11-04,30.366,48560,600,523,461,547,484,0.96,0.85
1,Lionel Messi,2017-12-05,30.45,48893,605,524,462,547,484,0.96,0.85
1,Lionel Messi,2018-01-11,30.552,49312,610,529,466,547,484,0.96,0.85
1,Lionel Messi,2018-01-28,30.598,49762,615,534,471,547,484,0.96,0.85
1,Lionel Messi,2018-02-17,30.653,50153,620,534,471,547,484,0.96,0.85
1,Lionel Messi,2018-03-14,30.721,50603,625,541,478,547,484,0.96,0.85
1,Lionel Messi,2018-04-10,30.795,50995,630,546,483,547,484,0.96,0.85
1,Lionel Messi,2018-04-21,30.825,51205,633,547,484,547,484,0.96,0.85
2,Cristiano Ronaldo,2002-08-14,17.52,32,1,0,0,567,471,0.85,0.71
2,Cristiano Ronaldo,2003-08-23,18.543,193,5,0,0,567,471,0.85,0.71
2,Cristiano Ronaldo,2003-10-01,18.65,553,10,0,0,567,471,0.85,0.71
2,Cristiano Ronaldo,2003-11-22,18.793,834,15,1,1,567,471,0.85,0.71
2,Cristiano Ronaldo,2003-12-13,18.85,1126,20,1,1,567,471,0.85,0.71
2,Cristiano Ronaldo,2004-01-31,18.984,1497,25,1,1,567,471,0.85,0.71
2,Cristiano Ronaldo,2004-02-28,19.061,1728,30,2,2,567,471,0.85,0.71
2,Cristiano Ronaldo,2004-04-03,19.157,1996,35,3,3,567,471,0.85,0.71
2,Cristiano Ronaldo,2004-04-24,19.214,2250,40,4,4,567,471,0.85,0.71
2,Cristiano Ronaldo,2004-08-25,19.551,2555,45,6,6,567,471,0.85,0.71
2,Cristiano Ronaldo,2004-09-20,19.622,2932,50,6,6,567,471,0.85,0.71
2,Cristiano Ronaldo,2004-10-24,19.715,3284,55,6,6,567,471,0.85,0.71
2,Cristiano Ronaldo,2004-11-23,19.797,3706,60,6,6,567,471,0.85,0.71
2,Cristiano Ronaldo,2004-12-26,19.888,4063,65,7,7,567,471,0.85,0.71
2,Cristiano Ronaldo,2005-01-12,19.934,4371,70,7,7,567,471,0.85,0.71
2,Cristiano Ronaldo,2005-01-29,19.981,4780,75,9,9,567,471,0.85,0.71
2,Cristiano Ronaldo,2005-02-23,20.049,5151,80,12,12,567,471,0.85,0.71
2,Cristiano Ronaldo,2005-03-19,20.115,5523,85,14,14,567,471,0.85,0.71
2,Cristiano Ronaldo,2005-04-24,20.214,5902,90,15,15,567,471,0.85,0.71
2,Cristiano Ronaldo,2005-08-20,20.537,6301,95,16,16,567,471,0.85,0.71
2,Cristiano Ronaldo,2005-09-24,20.632,6736,100,16,16,567,471,0.85,0.71
2,Cristiano Ronaldo,2005-10-22,20.709,7033,105,16,16,567,471,0.85,0.71
2,Cristiano Ronaldo,2005-11-22,20.794,7407,110,17,17,567,471,0.85,0.71
2,Cristiano Ronaldo,2005-12-14,20.854,7635,115,18,17,567,471,0.85,0.71
2,Cristiano Ronaldo,2006-01-03,20.909,8016,120,20,19,567,471,0.85,0.71
2,Cristiano Ronaldo,2006-02-04,20.997,8383,125,22,21,567,471,0.85,0.71
2,Cristiano Ronaldo,2006-03-12,21.095,8801,130,26,25,567,471,0.85,0.71
2,Cristiano Ronaldo,2006-04-09,21.172,9248,135,26,25,567,471,0.85,0.71
2,Cristiano Ronaldo,2006-05-07,21.248,9616,140,27,26,567,471,0.85,0.71
2,Cristiano Ronaldo,2006-09-17,21.613,10065,145,28,27,567,471,0.85,0.71
2,Cristiano Ronaldo,2006-10-28,21.725,10515,150,30,29,567,471,0.85,0.71
2,Cristiano Ronaldo,2006-11-18,21.782,10949,155,31,30,567,471,0.85,0.71
2,Cristiano Ronaldo,2006-12-06,21.832,11369,160,32,31,567,471,0.85,0.71
2,Cristiano Ronaldo,2006-12-30,21.897,11761,165,39,38,567,471,0.85,0.71
2,Cristiano Ronaldo,2007-01-31,21.985,12211,170,41,39,567,471,0.85,0.71
2,Cristiano Ronaldo,2007-02-27,22.059,12527,175,43,40,567,471,0.85,0.71
2,Cristiano Ronaldo,2007-03-19,22.114,12949,180,45,40,567,471,0.85,0.71
2,Cristiano Ronaldo,2007-04-14,22.185,13381,185,48,43,567,471,0.85,0.71
2,Cristiano Ronaldo,2007-05-02,22.234,13768,190,49,44,567,471,0.85,0.71
2,Cristiano Ronaldo,2007-08-12,22.513,14220,195,50,44,567,471,0.85,0.71
2,Cristiano Ronaldo,2007-09-29,22.645,14662,200,52,46,567,471,0.85,0.71
2,Cristiano Ronaldo,2007-10-27,22.721,15036,205,56,49,567,471,0.85,0.71
2,Cristiano Ronaldo,2007-12-03,22.823,15486,210,63,56,567,471,0.85,0.71
2,Cristiano Ronaldo,2007-12-29,22.894,15903,215,68,59,567,471,0.85,0.71
2,Cristiano Ronaldo,2008-01-27,22.973,16353,220,75,65,567,471,0.85,0.71
2,Cristiano Ronaldo,2008-02-23,23.047,16763,225,79,69,567,471,0.85,0.71
2,Cristiano Ronaldo,2008-03-19,23.116,17144,230,83,73,567,471,0.85,0.71
2,Cristiano Ronaldo,2008-04-13,23.184,17594,235,88,77,567,471,0.85,0.71
2,Cristiano Ronaldo,2008-05-03,23.239,17954,240,90,79,567,471,0.85,0.71
2,Cristiano Ronaldo,2008-09-23,23.63,18288,245,93,81,567,471,0.85,0.71
2,Cristiano Ronaldo,2008-10-21,23.707,18720,250,95,82,567,471,0.85,0.71
2,Cristiano Ronaldo,2008-11-08,23.756,19170,255,99,86,567,471,0.85,0.71
2,Cristiano Ronaldo,2008-12-06,23.833,19568,260,101,88,567,471,0.85,0.71
2,Cristiano Ronaldo,2008-12-29,23.896,20013,265,102,89,567,471,0.85,0.71
2,Cristiano Ronaldo,2009-01-20,23.956,20342,270,103,89,567,471,0.85,0.71
2,Cristiano Ronaldo,2009-02-15,24.027,20756,275,107,92,567,471,0.85,0.71
2,Cristiano Ronaldo,2009-03-04,24.074,21236,280,108,93,567,471,0.85,0.71
2,Cristiano Ronaldo,2009-04-07,24.167,21686,285,112,96,567,471,0.85,0.71
2,Cristiano Ronaldo,2009-04-29,24.227,22067,290,115,98,567,471,0.85,0.71
2,Cristiano Ronaldo,2009-05-27,24.304,22486,295,118,101,567,471,0.85,0.71
2,Cristiano Ronaldo,2009-09-23,24.63,22860,300,125,107,567,471,0.85,0.71
2,Cristiano Ronaldo,2009-12-05,24.83,23182,305,128,110,567,471,0.85,0.71
2,Cristiano Ronaldo,2010-01-16,24.945,23632,310,131,113,567,471,0.85,0.71
2,Cristiano Ronaldo,2010-02-27,25.06,24062,315,137,118,567,471,0.85,0.71
2,Cristiano Ronaldo,2010-03-25,25.131,24512,320,142,123,567,471,0.85,0.71
2,Cristiano Ronaldo,2010-04-18,25.196,24962,325,145,125,567,471,0.85,0.71
2,Cristiano Ronaldo,2010-05-16,25.273,25405,330,151,130,567,471,0.85,0.71
2,Cristiano Ronaldo,2010-09-21,25.624,25855,335,153,131,567,471,0.85,0.71
2,Cristiano Ronaldo,2010-10-19,25.7,26305,340,158,135,567,471,0.85,0.71
2,Cristiano Ronaldo,2010-11-07,25.752,26734,345,164,140,567,471,0.85,0.71
2,Cristiano Ronaldo,2010-11-29,25.812,27138,350,170,144,567,471,0.85,0.71
2,Cristiano Ronaldo,2010-12-22,25.875,27571,355,177,151,567,471,0.85,0.71
2,Cristiano Ronaldo,2011-01-20,25.955,28021,360,184,157,567,471,0.85,0.71
2,Cristiano Ronaldo,2011-02-06,26.001,28471,365,186,159,567,471,0.85,0.71
2,Cristiano Ronaldo,2011-03-03,26.07,28921,370,189,161,567,471,0.85,0.71
2,Cristiano Ronaldo,2011-04-13,26.182,29251,375,192,164,567,471,0.85,0.71
2,Cristiano Ronaldo,2011-05-03,26.237,29664,380,194,165,567,471,0.85,0.71
2,Cristiano Ronaldo,2011-08-14,26.519,30114,385,205,175,567,471,0.85,0.71
2,Cristiano Ronaldo,2011-09-18,26.615,30518,390,210,179,567,471,0.85,0.71
2,Cristiano Ronaldo,2011-10-15,26.689,30956,395,214,181,567,471,0.85,0.71
2,Cristiano Ronaldo,2011-11-02,26.738,31406,400,219,185,567,471,0.85,0.71
2,Cristiano Ronaldo,2011-12-10,26.842,31856,405,226,189,567,471,0.85,0.71
2,Cristiano Ronaldo,2012-01-10,26.927,32294,410,231,193,567,471,0.85,0.71
2,Cristiano Ronaldo,2012-01-28,26.976,32744,415,236,196,567,471,0.85,0.71
2,Cristiano Ronaldo,2012-02-26,27.055,33194,420,242,201,567,471,0.85,0.71
2,Cristiano Ronaldo,2012-03-21,27.121,33644,425,248,207,567,471,0.85,0.71
2,Cristiano Ronaldo,2012-04-08,27.17,34084,430,254,213,567,471,0.85,0.71
2,Cristiano Ronaldo,2012-04-25,27.217,34564,435,261,218,567,471,0.85,0.71
2,Cristiano Ronaldo,2012-08-19,27.535,35014,440,265,221,567,471,0.85,0.71
2,Cristiano Ronaldo,2012-09-15,27.608,35438,445,269,225,567,471,0.85,0.71
2,Cristiano Ronaldo,2012-10-07,27.669,35888,450,279,232,567,471,0.85,0.71
2,Cristiano Ronaldo,2012-11-06,27.751,36338,455,283,235,567,471,0.85,0.71
2,Cristiano Ronaldo,2012-12-01,27.819,36744,460,285,237,567,471,0.85,0.71
2,Cristiano Ronaldo,2012-12-22,27.877,37194,465,288,240,567,471,0.85,0.71
2,Cristiano Ronaldo,2013-01-23,27.964,37644,470,295,247,567,471,0.85,0.71
2,Cristiano Ronaldo,2013-02-13,28.022,38050,475,302,253,567,471,0.85,0.71
2,Cristiano Ronaldo,2013-03-05,28.077,38386,480,305,255,567,471,0.85,0.71
2,Cristiano Ronaldo,2013-04-06,28.164,38790,485,311,260,567,471,0.85,0.71
2,Cristiano Ronaldo,2013-04-30,28.23,39229,490,316,265,567,471,0.85,0.71
2,Cristiano Ronaldo,2013-08-18,28.531,39646,495,320,269,567,471,0.85,0.71
2,Cristiano Ronaldo,2013-09-22,28.627,40096,500,327,275,567,471,0.85,0.71
2,Cristiano Ronaldo,2013-10-19,28.701,40546,505,333,279,567,471,0.85,0.71
2,Cristiano Ronaldo,2013-11-05,28.747,40996,510,341,285,567,471,0.85,0.71
2,Cristiano Ronaldo,2013-12-22,28.876,41410,515,347,290,567,471,0.85,0.71
2,Cristiano Ronaldo,2014-01-18,28.95,41832,520,351,294,567,471,0.85,0.71
2,Cristiano Ronaldo,2014-02-05,28.999,42267,525,352,295,567,471,0.85,0.71
2,Cristiano Ronaldo,2014-03-15,29.103,42703,530,359,300,567,471,0.85,0.71
2,Cristiano Ronaldo,2014-04-02,29.153,43143,535,365,305,567,471,0.85,0.71
2,Cristiano Ronaldo,2014-05-07,29.248,43466,540,370,310,567,471,0.85,0.71
2,Cristiano Ronaldo,2014-08-25,29.55,43856,545,374,313,567,471,0.85,0.71
2,Cristiano Ronaldo,2014-09-27,29.64,44306,550,384,320,567,471,0.85,0.71
2,Cristiano Ronaldo,2014-10-25,29.717,44741,555,392,325,567,471,0.85,0.71
2,Cristiano Ronaldo,2014-11-26,29.804,45185,560,397,329,567,471,0.85,0.71
2,Cristiano Ronaldo,2014-12-16,29.859,45630,565,403,333,567,471,0.85,0.71
2,Cristiano Ronaldo,2015-01-15,29.941,46017,570,405,334,567,471,0.85,0.71
2,Cristiano Ronaldo,2015-02-18,30.034,46459,575,408,337,567,471,0.85,0.71
2,Cristiano Ronaldo,2015-03-15,30.103,46909,580,412,340,567,471,0.85,0.71
2,Cristiano Ronaldo,2015-04-14,30.185,47359,585,420,348,567,471,0.85,0.71
2,Cristiano Ronaldo,2015-05-02,30.234,47809,590,424,352,567,471,0.85,0.71
2,Cristiano Ronaldo,2015-05-23,30.292,48227,595,432,358,567,471,0.85,0.71
2,Cristiano Ronaldo,2015-09-19,30.617,48677,600,440,363,567,471,0.85,0.71
2,Cristiano Ronaldo,2015-10-17,30.694,49127,605,443,366,567,471,0.85,0.71
2,Cristiano Ronaldo,2015-11-08,30.754,49577,610,445,368,567,471,0.85,0.71
2,Cristiano Ronaldo,2015-12-08,30.836,50027,615,453,375,567,471,0.85,0.71
2,Cristiano Ronaldo,2016-01-09,30.924,50477,620,457,377,567,471,0.85,0.71
2,Cristiano Ronaldo,2016-02-13,31.02,50927,625,464,383,567,471,0.85,0.71
2,Cristiano Ronaldo,2016-03-05,31.077,51376,630,471,389,567,471,0.85,0.71
2,Cristiano Ronaldo,2016-04-06,31.165,51826,635,474,392,567,471,0.85,0.71
2,Cristiano Ronaldo,2016-05-04,31.242,52276,640,479,397,567,471,0.85,0.71
2,Cristiano Ronaldo,2016-09-14,31.606,52678,645,485,403,567,471,0.85,0.71
2,Cristiano Ronaldo,2016-10-15,31.691,53110,650,487,405,567,471,0.85,0.71
2,Cristiano Ronaldo,2016-11-06,31.751,53560,655,490,407,567,471,0.85,0.71
2,Cristiano Ronaldo,2016-12-07,31.836,54003,660,495,410,567,471,0.85,0.71
2,Cristiano Ronaldo,2017-01-18,31.951,54475,665,501,414,567,471,0.85,0.71
2,Cristiano Ronaldo,2017-02-15,32.027,54925,670,504,417,567,471,0.85,0.71
2,Cristiano Ronaldo,2017-03-07,32.082,55375,675,508,419,567,471,0.85,0.71
2,Cristiano Ronaldo,2017-04-12,32.181,55815,680,511,422,567,471,0.85,0.71
2,Cristiano Ronaldo,2017-05-10,32.257,56295,685,518,429,567,471,0.85,0.71
2,Cristiano Ronaldo,2017-08-08,32.504,56656,690,525,436,567,471,0.85,0.71
2,Cristiano Ronaldo,2017-09-26,32.638,57040,695,530,440,567,471,0.85,0.71
2,Cristiano Ronaldo,2017-10-29,32.728,57490,700,532,441,567,471,0.85,0.71
2,Cristiano Ronaldo,2017-11-25,32.802,57940,705,536,445,567,471,0.85,0.71
2,Cristiano Ronaldo,2017-12-16,32.86,58376,710,541,449,567,471,0.85,0.71
2,Cristiano Ronaldo,2018-01-27,32.975,58826,715,545,451,567,471,0.85,0.71
2,Cristiano Ronaldo,2018-02-24,33.051,59267,720,553,458,567,471,0.85,0.71
2,Cristiano Ronaldo,2018-04-03,33.155,59705,725,564,469,567,471,0.85,0.71
2,Cristiano Ronaldo,2018-04-18,33.196,59948,728,567,471,567,471,0.85,0.71
3,Luis Suárez,2006-09-14,19.639,17,1,1,1,249,242,0.73,0.71
3,Luis Suárez,2007-09-20,20.654,254,5,2,2,249,242,0.73,0.71
3,Luis Suárez,2008-11-06,21.785,704,10,5,5,249,242,0.73,0.71
3,Luis Suárez,2009-03-12,22.13,1147,15,7,5,249,242,0.73,0.71
3,Luis Suárez,2009-10-01,22.686,1583,20,11,9,249,242,0.73,0.71
3,Luis Suárez,2010-02-18,23.069,1953,25,13,10,249,242,0.73,0.71
3,Luis Suárez,2010-09-28,23.677,2403,30,16,13,249,242,0.73,0.71
3,Luis Suárez,2011-02-02,24.025,2790,35,18,15,249,242,0.73,0.71
3,Luis Suárez,2011-04-02,24.186,3238,40,19,16,249,242,0.73,0.71
3,Luis Suárez,2011-05-09,24.287,3685,45,21,18,249,242,0.73,0.71
3,Luis Suárez,2011-08-24,24.58,4018,50,24,21,249,242,0.73,0.71
3,Luis Suárez,2011-09-24,24.665,4410,55,25,22,249,242,0.73,0.71
3,Luis Suárez,2011-10-29,24.761,4849,60,28,25,249,242,0.73,0.71
3,Luis Suárez,2011-12-10,24.876,5299,65,29,26,249,242,0.73,0.71
3,Luis Suárez,2012-02-11,25.049,5664,70,30,27,249,242,0.73,0.71
3,Luis Suárez,2012-03-13,25.133,6144,75,31,28,249,242,0.73,0.71
3,Luis Suárez,2012-04-07,25.202,6585,80,34,31,249,242,0.73,0.71
3,Luis Suárez,2012-05-08,25.287,7030,85,38,35,249,242,0.73,0.71
3,Luis Suárez,2012-08-30,25.599,7480,90,40,37,249,242,0.73,0.71
3,Luis Suárez,2012-10-04,25.695,7865,95,45,42,249,242,0.73,0.71
3,Luis Suárez,2012-10-31,25.769,8269,100,47,44,249,242,0.73,0.71
3,Luis Suárez,2012-11-25,25.837,8655,105,51,48,249,242,0.73,0.71
3,Luis Suárez,2012-12-22,25.911,9105,110,52,49,249,242,0.73,0.71
3,Luis Suárez,2013-01-13,25.971,9500,115,57,54,249,242,0.73,0.71
3,Luis Suárez,2013-02-11,26.051,9950,120,60,57,249,242,0.73,0.71
3,Luis Suárez,2013-03-10,26.125,10388,125,67,64,249,242,0.73,0.71
3,Luis Suárez,2013-04-21,26.24,10838,130,68,65,249,242,0.73,0.71
3,Luis Suárez,2013-10-26,26.754,11287,135,74,71,249,242,0.73,0.71
3,Luis Suárez,2013-12-04,26.861,11737,140,81,78,249,242,0.73,0.71
3,Luis Suárez,2013-12-29,26.93,12187,145,87,84,249,242,0.73,0.71
3,Luis Suárez,2014-01-25,27.003,12561,150,90,87,249,242,0.73,0.71
3,Luis Suárez,2014-02-16,27.064,13007,155,91,88,249,242,0.73,0.71
3,Luis Suárez,2014-03-26,27.168,13457,160,96,93,249,242,0.73,0.71
3,Luis Suárez,2014-04-27,27.255,13907,165,98,95,249,242,0.73,0.71
3,Luis Suárez,2014-11-05,27.781,14336,170,99,96,249,242,0.73,0.71
3,Luis Suárez,2014-12-07,27.869,14682,175,100,97,249,242,0.73,0.71
3,Luis Suárez,2015-01-08,27.956,15132,180,103,100,249,242,0.73,0.71
3,Luis Suárez,2015-02-01,28.022,15571,185,104,101,249,242,0.73,0.71
3,Luis Suárez,2015-02-24,28.085,15944,190,108,105,249,242,0.73,0.71
3,Luis Suárez,2015-03-18,28.145,16383,195,112,109,249,242,0.73,0.71
3,Luis Suárez,2015-04-15,28.222,16829,200,117,114,249,242,0.73,0.71
3,Luis Suárez,2015-05-02,28.268,17229,205,123,120,249,242,0.73,0.71
3,Luis Suárez,2015-06-06,28.364,17623,210,124,121,249,242,0.73,0.71
